TARGET	CATEGORY	SMILES	SCAFFOLD	r_ligand_A	dG_kcal	dG_t50	dG_floor_t73	D_SCORE	TOX_SCORE	HET	CYP450	OATP	ETC	MECH7	MEMBRANE	MITO	BSEP	REACTIVE	MECHANISM
MMP13	imported	Cc1ccc(S(=O)(=O)Oc2ccc(Cl)cc2-n2c(C)ccc2C)cc1	ZINC_mw376	5.114575078509536	-12.278	-0.0	-5.52	-8.038	7	6	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	UNKNOWN	TOXIC	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	Cc1ccc([N+](=O)[O-])c2c1N[C@@H](c1ccc([N+](=O)[O-])cc1)[C@H]1CC=C[C@H]21	ZINC_mw351	5.000873907296883	-12.278	-0.0	-5.277	-7.908	7	7	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	UNKNOWN	TOXIC	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	COc1ccc(N[C@H](C)c2ccc(C)c(C)c2O)c(C)c1	ZINC_mw285	4.665938779266618	-12.278	-0.0	-4.594	-7.81	6	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	CCS[C@@H]1CCCC[C@@H]1N[C@H](CC)c1ccccc1O	ZINC_mw293	4.709612453515588	-12.278	-0.0	-4.681	-7.809	2	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	COc1c(C)ccc(N[C@H](C)c2cc(C)ccc2O)c1C	ZINC_mw285	4.665938779266618	-12.278	-0.0	-4.594	-7.81	6	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	CCS[C@@H]1CCC[C@H](N[C@H](CC)c2ccccc2O)C1	ZINC_mw293	4.7096124535155885	-12.278	-0.0	-4.681	-7.809	2	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	C[C@@H](Nc1cc(F)cc(Cl)c1)c1cc(F)ccc1O	ZINC_mw284	4.656754083890806	-12.278	-0.0	-4.576	-7.809	6	5	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	C[C@H](Nc1ccc(F)c(Cl)c1)c1ccc(F)cc1O	ZINC_mw284	4.656754083890806	-12.278	-0.0	-4.576	-7.809	6	5	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	C[C@H](Nc1cc(F)cc(Cl)c1)c1cc(F)ccc1O	ZINC_mw284	4.656754083890806	-12.278	-0.0	-4.576	-7.809	6	5	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	Cc1nc(CSc2ncc(C(C)(C)C)s2)cs1	ZINC_mw284	4.6609632231487055	-12.278	-0.0	-4.584	-7.809	5	5	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	UNKNOWN	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	COc1ccc(C)cc1N[C@H](C)c1ccc(C)c(C)c1O	ZINC_mw285	4.665938779266618	-12.278	-0.0	-4.594	-7.81	6	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	COc1ccc(N[C@@H](C)c2ccc(C)c(C)c2O)c(C)c1	ZINC_mw285	4.665938779266618	-12.278	-0.0	-4.594	-7.81	6	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	COc1c(C)ccc(N[C@H](C)c2ccc(C)cc2O)c1C	ZINC_mw285	4.665938779266618	-12.278	-0.0	-4.594	-7.81	6	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	CCS[C@@H]1CCC[C@@H](N[C@H](CC)c2ccccc2O)C1	ZINC_mw293	4.7096124535155885	-12.278	-0.0	-4.681	-7.809	2	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	Cc1ncc(CSc2ncc(C(C)(C)C)s2)s1	ZINC_mw284	4.6609632231487055	-12.278	-0.0	-4.584	-7.809	5	5	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	UNKNOWN	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	C[C@H](Nc1ccc(F)c(F)c1)c1cc(Cl)ccc1O	ZINC_mw284	4.656754083890806	-12.278	-0.0	-4.576	-7.809	6	5	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	CC(C)C[C@@H](NCc1ccc2c(c1)CCO2)c1ccccc1	ZINC_mw295	4.720020435301986	-12.278	-0.0	-4.701	-7.81	7	2	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	UNKNOWN	TOXIC	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	C[C@@H](Nc1ccc(Cl)cc1)c1cc(F)cc(F)c1O	ZINC_mw284	4.656754083890806	-12.278	-0.0	-4.576	-7.809	6	5	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	COc1c(C)ccc(N[C@@H](C)c2ccc(C)cc2O)c1C	ZINC_mw285	4.665938779266618	-12.278	-0.0	-4.594	-7.81	6	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	COc1ccc(C)cc1N[C@@H](C)c1ccc(C)c(C)c1O	ZINC_mw285	4.665938779266618	-12.278	-0.0	-4.594	-7.81	6	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	Cc1ncsc1CSc1ncc(C(C)(C)C)s1	ZINC_mw284	4.6609632231487055	-12.278	-0.0	-4.584	-7.809	5	5	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	UNKNOWN	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	CCS[C@@H]1CCC[C@@H](N[C@@H](CC)c2ccccc2O)C1	ZINC_mw293	4.7096124535155885	-12.278	-0.0	-4.681	-7.809	2	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	COc1cc(C)ccc1N[C@H](C)c1ccc(C)c(C)c1O	ZINC_mw285	4.665938779266618	-12.278	-0.0	-4.594	-7.81	6	3	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	SAFE	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
MMP13	imported	Cc1cc(O)c(CNc2ccc(C3CC3)cc2)cc1C	ZINC_mw267	4.565618462186329	-12.278	-0.0	-4.399	-7.81	7	2	CYP450_SUBSTRATE	SUBSTRATE	SKIPPED	MEMBRANE_PROTECTOR	TOXIC	SKIPPED	MODERATE	CYP450_SUBSTRATE	unknown
