# targets_low_yield.txt
# Format: UniProt_ID | gene_name | disease | priority_score | r_pocket | source
# Total: 296 targets with <10 clean candidates from first screen
#
P14625 | HSP90B1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P07900 | HSP90AA1 | Weight Loss | 5400.0 | 6.00 | 20k_uniprot
Q99623 | PHB2 | Weight Loss | 1500.0 | 6.50 | 20k_uniprot
Q5T8D3 | ACBD5 | Weight Loss | 1500.0 | 6.00 | 20k_uniprot
Q96P20 | NLRP3 | Chemical and Drug Induced Liver Injury | 2400.0 | 6.50 | 20k_uniprot
P42830 | CXCL5 | Inflammation | 2400.0 | 6.00 | 20k_uniprot
P39900 | MMP12 | Inflammation | 2400.0 | 6.00 | 20k_uniprot
Q07325 | CXCL9 | Weight Loss | 2400.0 | 6.00 | 20k_uniprot
P68871 | HBB | Weight Loss | 2400.0 | 6.00 | 20k_uniprot
O15455 | TLR3 | Weight Loss | 2400.0 | 6.50 | 20k_uniprot
Q9BRX8 | PRXL2A | Weight Loss | 2400.0 | 6.00 | 20k_uniprot
O43541 | SMAD6 | Necrosis | 2400.0 | 6.00 | 20k_uniprot
P51681 | CCR5 | Necrosis | 2400.0 | 6.50 | 20k_uniprot
P98088 | MUC5AC | Inflammation | 2400.0 | 6.00 | 20k_uniprot
P62136 | PPP1CA | Weight Loss | 2400.0 | 6.20 | 20k_uniprot
P49961 | ENTPD1 | Weight Loss | 2400.0 | 6.00 | 20k_uniprot
O00175 | CCL24 | Inflammation | 2400.0 | 6.00 | 20k_uniprot
Q16581 | C3AR1 | Chemical and Drug Induced Liver Injury | 2400.0 | 6.50 | 20k_uniprot
O00626 | CCL22 | Inflammation | 2400.0 | 6.00 | 20k_uniprot
Q96CC6 | RHBDF1 | Prenatal Exposure Delayed Effects | 2400.0 | 6.50 | 20k_uniprot
P01589 | IL2RA | Inflammation | 2400.0 | 6.50 | 20k_uniprot
Q86YJ6 | THNSL2 | Weight Loss | 2400.0 | 6.00 | 20k_uniprot
Q9NRM6 | IL17RB | Chemical and Drug Induced Liver Injury | 2400.0 | 6.50 | 20k_uniprot
P40429 | RPL13A | Weight Loss | 2400.0 | 6.00 | 20k_uniprot
P29475 | NOS1 | Weight Loss | 1800.0 | 6.00 | 20k_uniprot
P35754 | GLRX | Chemical and Drug Induced Liver Injury | 1800.0 | 6.00 | 20k_uniprot
P17655 | CAPN2 | Chemical and Drug Induced Liver Injury | 1800.0 | 6.00 | 20k_uniprot
O60894 | RAMP1 | Weight Loss | 1800.0 | 6.50 | 20k_uniprot
P25786 | PSMA1 | Chemical and Drug Induced Liver Injury | 1800.0 | 5.50 | 20k_uniprot
P40306 | PSMB10 | Weight Loss | 1800.0 | 5.50 | 20k_uniprot
P07384 | CAPN1 | Necrosis | 1800.0 | 6.00 | 20k_uniprot
P28065 | PSMB9 | Weight Loss | 1800.0 | 5.50 | 20k_uniprot
P28070 | PSMB4 | Weight Loss | 1800.0 | 5.50 | 20k_uniprot
P37088 | SCNN1A | Chemical and Drug Induced Liver Injury | 1800.0 | 8.00 | 20k_uniprot
P20618 | PSMB1 | Weight Loss | 1800.0 | 5.50 | 20k_uniprot
Q96PU5 | NEDD4L | Prenatal Exposure Delayed Effects | 1800.0 | 6.00 | 20k_uniprot
