# targets_1000_prioritized.txt
# Format: UniProt_ID | gene_name | disease | priority_score | r_pocket | source
# Total: 1000 targets with real pocket radii from targets_20k.json
#
P01375 | TNF | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P04040 | CAT | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q04206 | RELA | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P35228 | NOS2 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P04637 | TP53 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P38936 | CDKN1A | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
P24385 | CCND1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P05412 | JUN | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P01100 | FOS | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P19838 | NFKB1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q14790 | CASP8 | Chemical and Drug Induced Liver Injury | 7500.0 | 5.50 | 20k_uniprot
Q92887 | ABCC2 | Chemical and Drug Induced Liver Injury | 7500.0 | 7.50 | 20k_uniprot
O00206 | TLR4 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
P01106 | MYC | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P25445 | FAS | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
P18146 | EGR1 | Necrosis | 7500.0 | 6.00 | 20k_uniprot
P09341 | CXCL1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
O15439 | ABCC4 | Chemical and Drug Induced Liver Injury | 7500.0 | 7.50 | 20k_uniprot
P22309 | UGT1A1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P35869 | AHR | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
P33527 | ABCC1 | Chemical and Drug Induced Liver Injury | 7500.0 | 7.50 | 20k_uniprot
Q00987 | MDM2 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P00338 | LDHA | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P42224 | STAT1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P50591 | TNFSF10 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q9H3M7 | TXNIP | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P19438 | TNFRSF1A | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
P48023 | FASLG | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
P05109 | S100A8 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P26358 | DNMT1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P07339 | CTSD | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
O60356 | NUPR1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q9ULX9 | MAFF | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
